Date,Searches
2019-09-01,1
2019-09-02,1
2019-09-03,2
2019-09-04,2
2019-09-05,4
2019-09-06,24
2019-09-07,4
2019-09-08,2
2019-09-09,1
2019-09-10,1
2019-09-11,2
2019-09-12,1
2019-09-13,1
2019-09-14,3
2019-09-15,2
2019-09-16,2
2019-09-17,3
2019-09-18,4
2019-09-19,5
2019-09-20,12
2019-09-21,56
2019-09-22,7
2019-09-23,4
2019-09-24,3
2019-09-25,3
2019-09-26,3
2019-09-27,5
2019-09-28,31
2019-09-29,4
2019-09-30,3
2019-10-01,3
2019-10-02,2
2019-10-03,5
2019-10-04,41
2019-10-05,5
2019-10-06,4
2019-10-07,4
2019-10-08,33
2019-10-09,4
2019-10-10,3
2019-10-11,4
2019-10-12,4
2019-10-13,5
2019-10-14,3
2019-10-15,3
2019-10-16,3
2019-10-17,4
2019-10-18,5
2019-10-19,10
2019-10-20,66
2019-10-21,8
2019-10-22,4
2019-10-23,3
2019-10-24,5
2019-10-25,5
2019-10-26,15
2019-10-27,79
2019-10-28,8
2019-10-29,5
2019-10-30,6
2019-10-31,8
2019-11-01,17
2019-11-02,100
2019-11-03,23
2019-11-04,15
2019-11-05,16
2019-11-06,8
2019-11-07,12
2019-11-08,8
2019-11-09,5
2019-11-10,8
2019-11-11,9
2019-11-12,3
2019-11-13,3
2019-11-14,1
2019-11-15,1
2019-11-16,1
2019-11-17,1
2019-11-18,1
2019-11-19,1
2019-11-20,1
2019-11-21,1
2019-11-22,1
2019-11-23,1
2019-11-24,1
2019-11-25,0
2019-11-26,1
2019-11-27,1
2019-11-28,1
2019-11-29,0
2019-11-30,0
