Week,NZ_Springboks,UK_Springboks
2019-01-06,1,1
2019-01-13,0,2
2019-01-20,1,1
2019-01-27,1,1
2019-02-03,0,1
2019-02-10,0,1
2019-02-17,0,2
2019-02-24,0,2
2019-03-03,0,2
2019-03-10,0,1
2019-03-17,1,1
2019-03-24,0,2
2019-03-31,1,1
2019-04-07,1,1
2019-04-14,1,1
2019-04-21,0,2
2019-04-28,1,1
2019-05-05,1,1
2019-05-12,0,2
2019-05-19,1,1
2019-05-26,1,1
2019-06-02,0,1
2019-06-09,1,2
2019-06-16,1,1
2019-06-23,1,2
2019-06-30,1,2
2019-07-07,1,2
2019-07-14,6,10
2019-07-21,18,18
2019-07-28,4,4
2019-08-04,4,12
2019-08-11,4,12
2019-08-18,2,5
2019-08-25,1,5
2019-09-01,3,11
2019-09-08,3,5
2019-09-15,100,23
2019-09-22,14,13
2019-09-29,4,9
2019-10-06,4,11
2019-10-13,4,8
2019-10-20,9,33
2019-10-27,21,100
2019-11-03,7,35
2019-11-10,1,9
2019-11-17,1,3
2019-11-24,0,3
2019-12-01,0,4
2019-12-08,1,3
2019-12-15,1,5
2019-12-22,1,2
2019-12-29,1,3
